James,Whitehouse,jcwcbs@gmail.com,*********,06/21/2000,Entertainer
Daniel,Chagnon,d.chag3@gmail.com,*******,05/21/1999,Event Planner
Cole,Clisby,coleclisby@gmail.com,***********,10/02/1998,Entertainer
John,Doe,johndoe@gmail.com,*******,01/01/1987,Event Planner
Bridget,Michaels,b.michaels@hotmail.com,************,11/12/1968,Event Planner
George,Smith,geosmith@yahoo.com,**********,03/25/1971,Entertainer
Carl,Monroe,monroedoc@sbcglobal.net,*******,08/10/1992,Entertainer
Derek ,Sleet,dsleeter@gmail.com,***********,04/06/1999,Event Planner
Mark,Moncrief,marmon2@aol.com,********,10/03/1962,Event Planner
Charlie,Johnson,jojo23@gmail.com,*************,06/02/1990,Entertainer
Josh,Garcia,joshy44@msn.com,**********,01/27/1979,Event Planner
Blarry,Vegotol,vegbytales8@yahoo.com,********,02/22/1997,Entertainer
Vincent ,Vargas,vinvar@aol.com,***********,09/18/1985,Entertainer
Devin,Gaan,dgaan54@gmail.com,*********,05/20/1999,Event Planner
Justin,Baker,thisjustin@sbcglobal.net,***********,07/13/1982,Event Planner
Sam,Anderson,sam.i.am@yahoo.com,********,12/04/1989,Entertainer
Luke,Lopez,itslope@aol.com,*************,10/25/1994,Entertainer
Calvin,Clark,vinny.c@gmail.com,**********,09/05/1978,Entertainer
Tim,Evans,timtim123@hotmail.com,********,02/18/1986,Event Planner
Colin,Murphy,murphco@gmail.com,**********,04/29/1995,Event Planner
